NAME,TAG,Activation,Walkable,EFFECT,ART,NUM,STAR,QUANTITY
Arrow Rain,SIEGE WEAPON,INSTANT,,<b>ACTION:</b><br>Select a field tile<br>Toss a D6<br>Apply the number of the die as DMG to the card at the selected tile<br>Apply this number -3 to all other enemy cards on the same lane,arrow_rain.png,A0001,,2
Balista,SIEGE WEAPON,FOREVER,S,<b>IF a UNIT is on top of this card:<br>ACTION</b><br>Apply 3 DMG to enemy card at meelee range<br>(Cooldown 2 TICKS),balista.png,A0002,,2
Catapult,SIEGE WEAPON,ONCE,,<b>ACTION:</b><br>Throw 2 COINS:<br>Destroy any enemy card on the same lane of this card at the battle range equal to number of  HEADS +1<br>SELECT a card next to the destroyed card<br>Apply 3 DMG to it,catapult.png,A0003,,2
Giga Shovel,SHOVEL,ONCE,,Select a DOMAIN card:<br>Destroy it.<br>Apply 2 DMG to any card occupying it,giga_shovel.png,A0004,,2
Duel Invitation,DUEL,INSTANT,,<b>ACTION:</b><br>Both players DRAW 2 cards<br>Select one UNIT card from the drawn cards and place it face down.<br>Your opponent is gonna do the same.<br>After that flip both cards face up and BATTLE each other.<br>The surviving card can be SPAWN at the owner's field.<br><br>IF a player have not setted a card face-down the only card face-down is declared the surviving card<br>IF both cards survives place them back into their owner's hand.<br>After the end of this effect both players needs to shuffle the remaining drawn cards from their hand back to the deck. ,duel_invitation.png,A0005,,2
Burning Oil,SIEGE WEAPON,TRAP,,<b>TRAP:</b><br><b>TRAP:</b><br>The ATKer of this card gets 3 DMG and BURN (2 TICKS),burning_oil.png,A0006,,2
Sealed Gate,GATE,FOREVER,,"<b>SPAWN:</b><br>Create a Wall Token 0/10 with BLOCK at all lanes at the same row of this card.<br>This card is treated as a 0/5 card with BLOCK<br>AND CANNOT MOVE, BATTLE and gain any status or be healed<br>This card CANNOT SPAWN if there is one or more cards occupying a Wall Token SPAWN location<br><br><b>IF this card life reaches zero:</b><br>Destroy it and all the Wall Tokens spawned by it.",sealed_gate.png,A0007,,2
Sealed Rune,RUNE,TRAP,,<b>TRAP:</b><br>Discard a card in hand with the same ATK or same HP as the ATKer<br><b>IF the ATK is equal:</b><br>The card ATK value becomes 0<br><b>IF the HP is equal:</b><br>The Card is destroyed,sealed_rune.png,A0008,,2
Divine Shield of Barbaros,SHIELD &#124 DIVINE,ATTACH,,<b>ACTION:<br>ATTACH TO UNIT:</b><br>Enemy UNITS can only declare an ATK against this UNIT until your next TICK.<br><br><b>TICK:<br>IF this UNIT is on field:</b><br>Destroy this card and apply SHIELD to the UNIT,divine_shield_barbaros.png,A0009,,2
Chalice of Uncontrollable Power,CHALICE,INSTANT,,Select any UNIT on field:<br>Add any number to it ATK value<br>But subtract the same amout to the selected UNIT HP value,chalice_uncontrollable_power.png,A0010,,2
Book of Forbidden Spells,BOOK &#124 SPELL,ONCE,,<b>ACTION:</b><br>Select any MAGE card from your field and destroy it.<br>Apply it ATK value as DMG to all cards on the same lane of this card on enemy's side,book_forbidden_spells.png,A0011,,2
"""Peace"" Sign",SIGN,FOREVER,,<b>IF this card is ACTIVE:</b><br>UNITS cannot target other UNITS to BATTLE.<br>(Meelee cards will skip any UNIT and land on an actual target)<br><br>This card cannot be protected against any BATTLE or Destruction Effect<br>,,A0012,,2
White Flag of Surrender,FLAG,ATTACH,,<b>ATTACH TO UNIT:</b><br>The UNIT cannot BATTLE or be targeted in a BATTLE by any other UNIT as long this card is attached to it,white_flag_surrender.png,A0013,,2
Divine Sword of the Chosen,SWORD &#124 DIVINE,ATTACH,,<b>ATTACH TO UNIT:</b><br>This UNIT becomes a DIVINE card.<br>This UNIT gains +1 ATK instantly and +1 ATK for each other UNIT that this card destroys.<br><br><b>IF the attached UNIT is destroyed:</b><br>Put this card back at your hand,divine_sword_chosen.png,A0014,S,1
Mark of War,MARK,ONCE PER TURN,,<b>BATTLE:</b><br>Select any UNIT.<br> Give +2 ATK until the end of this BATTLE phase,mark_war.png,A0015,,2
